20,20,,
30,30,,
50,50,,
123,123,,
200,200,,
"
                            Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).
                        ","
                            Zulässige Werte: ""paypal"", ""primary"" (Standard), your_custom_value (ein benutzerdefinierter Zahlungsseiten-Stil von Ihrem Händler-Konto-P",module,Magento_Paypal
"
                            The background color for the checkout page around the header and payment form.
                        ","
                            Die Hintergrundfarbe der Checkout-Seite rund um den Header und das Zahlungsformular..
                        ",module,Magento_Paypal
"
                            The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.
                        ","
                            Die Hintergrundfarbe für den Header der Checkout-Seite.HTML-hexadezimaler Farbcode in ASCII mit sechs Zeichen in Groß- und Kleinschreibung.
                        ",module,Magento_Paypal
"
                            The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.
                        ","
                            Das Bild in der oberen linken Ecke der Checkout-Seite. Maximale Größe 750x90 Pixel. <strong style=""color:red"">https</strong> ausdrücklich gewünscht.
                        ",module,Magento_Paypal
"
                            Will appear as a payment option only for customers who have at least one active billing agreement.
                        ","
                            Wird als Zahlungsoption nur für Kunden erscheinen, die mindestens eine aktive Abrechnungsvereinbarung haben.
                        ",module,Magento_Paypal
"
                        <a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>
                    ","
                        <a href=""http://www.magentocommerce.com/paypal"">Zahlungen via PayPal akzeptieren!</a>
                    ",module,Magento_Paypal
"
                        <p>Help us improve Magento Admin by allowing us to collect usage data.</p>
                        <p>All usage data that we collect for this purpose cannot be used to individually identify you and is used only to improve the Magento Admin and related products and services.</p>
                        <p>You can learn more and opt out at any time by following the instructions in <a href=""https://docs.magento.com/m2/ce/user_guide/stores/admin.html"" target=""_blank"" tabindex=""0"">merchant documentation</a>.</p>
","
                        <p>Helfen Sie uns, Magento Admin zu verbessern, indem Sie uns erlauben, Nutzungsdaten zu sammeln.</p>
                        <p>Alle Nutzungsdaten, die wir zu diesem Zweck sammeln, können nicht dazu verwendet werden, Sie individuell zu identifizieren und werden nur dazu verwendet, den Magento Admin und verwandte Produkte und Dienstleistungen zu verbessern.</p>
                        <p>Sie können jederzeit mehr erfahren und sich abmelden, indem Sie den Anweisungen in <a href=""https://docs.magento.com/m2/ce/user_guide/stores/admin.html"" target=""_blank"" tabindex=""0"">Händlerdokumentation</a>.</p> folgen.
",module,Magento_AdminAnalytics
"
                        <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
                        <p>To learn more about new features, see our latest Release Notes in
                        <a href=""https://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>","
                        <p>Wir werden versuchen, es beim nächsten Mal wieder anzuzeigen, wenn Sie sich bei Magento Admin anmelden.</p>
                        <p>Um mehr über die neuen Funktionen zu erfahren, lesen Sie unsere neuesten Versionshinweise unter
                        <a href=""https://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>",module,Magento_ReleaseNotification
"
                        <strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).
                    ","
                        <strong style=""color:red"">Warnung!</strong> Wenn Sie den Storecode in URLs verwenden, könnte das System in einigen Fällen nicht sauber arbeiten, wenn URLs ohne Storecodes in Third-Party-Services angegeben sind (z.B. PayPal etc.).
                    ",module,Magento_Backend
"
                        Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    ","
                        Die Basiswährung wird für alle Online-Transaktionen verwendet. Der Basiswährungs-Geltungsbereich wird durch den Katalogpreis-Geltungsbereich definiert (""""Katalog"""" > """"Preis"""" > """"Katalogpreis-Geltungsbereich"""").
                    ",module,Magento_Directory
"
                        formElements/*[name(.)=../../@formElement]/settings/caption
                    ","
                        formElements/*[name(.)=../../@formElement]/settings/caption
                    ",module,Magento_Ui
"
                        formElements/*[name(.)=../../@formElement]/settings/description
                    ","
                        formElements/*[name(.)=../../@formElement]/settings/description
                    ",module,Magento_Ui
